,Bans per county,Abbr,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
10,19.0,HI,1898150.0,0.501375023048758,0.4986249769512419,0.3245607565260912,0.0269046176540315,0.0198883123040855,0.4274156415457155,0.2012306719700761,0.8679682849089904,0.1320317150910096,0.1768200616389642,0.0795780101677949,0.0907631114506229,0.1419792956299554,0.1250733609040381,0.111396886442062,0.1136506598530147,0.0924184073966757,0.0683202065168716,1.641,1.25,1415872.0,21.307442,-157.857376,1159.0030737241784,882.8481670659495,0.0392719846972316,0.0457793613138278
11,14.0,IA,3221007.0,0.4980641147318214,0.5019358852681786,0.9058583231889904,0.0503671677832429,0.0104790210018171,0.0310356357499378,0.0022598522760118,0.935964746428679,0.064035253571321,0.1560806915352869,0.0802984905031252,0.100605804333862,0.1261465746581736,0.1211257845760658,0.1135523766325251,0.1298038160115765,0.0971391865959931,0.0752472751533914,1.48,1.25,3155070.0,41.591087,-93.603729,469.08626433010994,396.1877232517821,0.0354189746202942,0.0457793613138278
12,7.0,ID,1835705.0,0.5015135874228157,0.4984864125771842,0.9292882026251494,0.0142757142351303,0.0280366398740538,0.0240817560555753,0.0043176872100909,0.8699131941134333,0.1300868058865667,0.1668525171528105,0.0887909549737022,0.0930759571935577,0.1325763126428266,0.1263111447645455,0.1118088145971166,0.1205542284844242,0.0968995563012575,0.0631305138897589,1.094,1.25,1787065.0,43.617775,-116.199722,612.1769493555075,699.4709201959638,0.0261813231314877,0.0457793613138278
13,17.0,IL,12951672.0,0.4914835706154387,0.5085164293845613,0.7693451470976103,0.1533503164687926,0.0109231456757088,0.064928759777116,0.0014526309807722,0.8243396682683132,0.1756603317316868,0.1483274128622158,0.0790557389038264,0.0923315537947533,0.1387569110768092,0.1284432619973699,0.1250345901285949,0.1291850195094502,0.0914832463329831,0.067382265393997,8.127,4.914,12671821.0,39.798363,-89.654961,641.3442866656655,387.7895686815652,0.1944932477967104,0.1799678251969201
14,20.0,IN,6887333.0,0.4932067318365469,0.5067932681634532,0.8488924522743418,0.1098570375499485,0.0096723942344591,0.0301605861078591,0.0014175298333912,0.9262419865570606,0.0737580134429393,0.1569568365577793,0.0819732398593185,0.0991147081170606,0.1322150388256238,0.1221300030069694,0.1208912070898851,0.1280636496013769,0.0930676649437452,0.0655876519982408,3.071,2.61,6732219.0,39.768623,-86.162643,456.164601894264,387.68792280821526,0.0734943723371105,0.0955873064232725
15,8.0,KS,3009064.0,0.4982519481140979,0.5017480518859021,0.8629417652798346,0.0739359481885396,0.0231450710254085,0.0376844759699361,0.002292739536281,0.8769072375994661,0.1230927624005338,0.1636698322136053,0.0843255577149572,0.1025936969104013,0.1314767648677462,0.1226929703057163,0.1107842837506945,0.1250485200713577,0.0913200915633565,0.0680882826021646,1.583,1.25,2913314.0,39.048191,-95.677956,543.3674502645441,429.0646322366899,0.0378839437999498,0.0457793613138278
16,5.0,KY,4563577.0,0.4927391386186756,0.5072608613813243,0.8754711490569788,0.0947980060378076,0.0084512653122758,0.0196345980357075,0.0016449815572302,0.9599862125696575,0.0400137874303424,0.1523769621943488,0.0779634045837289,0.09366643753354,0.1312884607841612,0.1222874074437661,0.1246421392692618,0.1321421770685582,0.0988056079693626,0.0668274031532721,2.183,1.732,4467673.0,38.186722,-84.875374,488.6212576435205,387.6738516896828,0.052242987564934,0.0634318830364398
17,23.0,LA,4737288.0,0.4877130121706765,0.5122869878293235,0.6311341003544644,0.3317056087786936,0.0138182436871053,0.0219617215588328,0.0013803256209037,0.9454645780454978,0.0545354219545022,0.1598230886532547,0.078857565763365,0.0905868505355807,0.1411708555612409,0.1261048515521961,0.1169244935076778,0.1287844437576942,0.0942068542170119,0.0635409964519784,3.011,1.803,4648794.0,30.457069,-91.187393,647.6948645175502,387.84252431921055,0.0720584679606121,0.0660321507590653
18,26.0,MA,7084750.0,0.485673876989308,0.514326123010692,0.8066226754649071,0.1021021207523201,0.0105899290730089,0.0783981086135714,0.0022871660961925,0.8716061964077773,0.1283938035922227,0.1315500194078831,0.0706634673065386,0.1016205229542326,0.1446844278203183,0.1224294435230601,0.1281100956279332,0.1346191467588835,0.095870425914817,0.0704524506863333,5.286,2.673,6892503.0,42.358162,-71.063698,766.9202320260143,387.81267124584497,0.1265031755695104,0.0978945862334895
19,9.0,MD,6242265.0,0.4843801088226789,0.5156198911773211,0.591310365708601,0.3181095323572453,0.0130125843744217,0.0752483273299034,0.0023191902298284,0.8915446556658521,0.1084553443341479,0.1514461497549367,0.076812823550426,0.0882750091513256,0.1370106844230419,0.1284599420242492,0.1297743687587758,0.1329456535408221,0.0909556066588009,0.0643197621376215,3.717,2.344,6045680.0,38.978764,-76.490936,614.8191766682987,387.71486416747166,0.0889542761240768,0.08584545833569
20,13.0,ME,1370308.0,0.4897161805958952,0.5102838194041047,0.943760818735642,0.0225971095549321,0.0152265038224983,0.0174610379564302,0.0009545299304973,0.9812925269355502,0.0187074730644497,0.1217667852774704,0.067864304959177,0.0804651217098637,0.1212493833503124,0.1142042518908157,0.1289746538734357,0.1558146051836521,0.1243209555807891,0.0853399381744834,0.997,1.25,1344212.0,44.307167,-69.781693,741.6984820846711,929.9128411292266,0.023859944389482,0.0457793613138278
21,41.0,MI,10259753.0,0.4924788150358005,0.5075211849641994,0.7938704762190669,0.1503879284423319,0.0154380909559908,0.0390848590604471,0.0012186453221632,0.9455937194589382,0.0544062805410617,0.1437808493050466,0.0772082914666659,0.096115666722191,0.1315284100894047,0.1158943105160523,0.124056885190121,0.1379045869817723,0.1020265302683212,0.0714844694604246,6.54,3.873,9986857.0,42.733635,-84.555328,654.8606833961876,387.8096982864579,0.1565135770383273,0.1418427730947642
22,10.0,MN,5797857.0,0.4982037328619867,0.5017962671380133,0.838139333205355,0.0809845775775428,0.021446717295718,0.0577987694418817,0.0016306024795023,0.9424547725133614,0.0575452274866385,0.1579181756293748,0.0805982279314581,0.0897790338740676,0.1353608755786836,0.1275612696208271,0.1176520911088355,0.13156171323301,0.0921323171647731,0.0674362958589699,2.833,2.187,5639632.0,44.955097,-93.102211,502.3377411859497,387.7912601389594,0.0677986183103335,0.0800955705546732
23,3.0,MO,6294363.0,0.4910334850405037,0.5089665149594963,0.8296961900672077,0.1270563836245224,0.0139426340679747,0.0266949967772751,0.0026097954630198,0.954915215407818,0.0450847845921819,0.1514509093295064,0.0780447521059716,0.0925443924984942,0.1344515719859182,0.1218819124349834,0.1179803262061625,0.133422714895852,0.0978381767940616,0.0723852437490497,2.685,2.38,6137428.0,38.579201,-92.172935,437.47967389597073,387.78458989661465,0.0642567208483041,0.0871639039415282
24,46.0,MS,3019168.0,0.4847040641660219,0.5152959358339781,0.5937182031606059,0.3804336161485548,0.0104893136122269,0.0140932866273092,0.0012655804513031,0.9652129328344764,0.0347870671655237,0.1555345711136313,0.0828436840878016,0.0957002061495087,0.1319413162831614,0.1222840199684151,0.1207961928584298,0.1286864460672609,0.0962821545538373,0.0659314089179535,1.806,1.25,2976149.0,32.303848,-90.182106,606.8244567056287,420.00585320157023,0.0432207217326023,0.0457793613138278
25,5.0,MT,1100962.0,0.5034914919860994,0.4965085080139005,0.8894648498313293,0.0112165542498287,0.0821754065989561,0.0149160461487317,0.0022271431711539,0.9571456598865355,0.0428543401134644,0.1455181922718495,0.0741224492761784,0.0928133759384974,0.1297238233472181,0.1207480367169802,0.1090391857302976,0.1383499158009086,0.1145670786094343,0.0751179423086355,0.906,1.25,1068778.0,46.585709,-112.018417,847.6970895733258,1169.5600021707037,0.021682156085126,0.0457793613138278
26,24.0,NC,10755786.0,0.4862617199709998,0.5137382800290002,0.7077992254587437,0.2302869357943715,0.0228457501850631,0.0368638795900178,0.0022042089718036,0.9006167471163893,0.0993832528836107,0.1480055478976618,0.0778218346850709,0.0955324882811911,0.1348847029868389,0.1234244526620369,0.1284610906167155,0.1279216600255899,0.0980289120664914,0.0659193107784033,5.439,4.067,10488084.0,35.78043,-78.639099,518.588523890541,387.77340074698105,0.1301647317295813,0.1489477299706703
