,Bans per county,State,Abbr,Max_new_cases,Total_cases,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75,Max_new_deaths,Total_deaths,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
41,22,Utah,UT,6142,398012,3298054,0.50386349,0.49613651,0.904592526,0.021094561,0.022345601,0.036483939,0.015483373,0.854528762,0.145471238,0.195574117,0.100317035,0.114189155,0.147355986,0.136984112,0.101010475,0.092878406,0.067051965,0.044638748,35,2204,1.377,1.25,3205958,40.777477,-111.888237,429.5128009,389.8990567,0.032954005,0.045779361
42,13,Virginia,VA,9914,661314,8829898,0.492130034,0.507869966,0.698024824,0.207798097,0.012368886,0.079291856,0.002516337,0.90070712,0.09929288,0.149819284,0.076282648,0.094953079,0.139410331,0.129262875,0.126897389,0.12794859,0.091827901,0.063597903,383,10791,4.293,3.31,8535519,37.538857,-77.43364,502.9571137,387.7912989,0.102738958,0.121223749
43,15,Vermont,VT,283,23126,637214,0.494055372,0.505944628,0.941937873,0.020453097,0.012692753,0.023915043,0.001001233,0.978333809,0.021666191,0.120030319,0.066891186,0.106516806,0.119295872,0.113742008,0.124082333,0.151398117,0.119142078,0.07890128,6,247,1.049,1.25,623989,44.262436,-72.580536,1681.119379,2003.240442,0.025104395,0.045779361
44,36,Washington,WA,8644,404709,8026776,0.500522252,0.499477748,0.786538331,0.056349399,0.032964169,0.111738262,0.012409839,0.86849552,0.13150448,0.154260067,0.075215005,0.088930848,0.154158656,0.133647307,0.118617986,0.122264904,0.093121572,0.059783654,174,5499,4.427,2.953,7614893,47.035805,-122.905014,581.3607624,387.7927109,0.105945811,0.108149163
45,7,Wisconsin,WI,16956,661685,5947323,0.497597491,0.502402509,0.870484586,0.07595535,0.01785711,0.034428263,0.001274691,0.927521677,0.072478323,0.145457545,0.07802149,0.09486991,0.12738269,0.12169223,0.121444051,0.139294267,0.100506228,0.071331589,135,7567,2.533,2.258,5822434,43.074684,-89.384445,435.0414277,387.8103213,0.060619096,0.082695838
46,26,West Virginia,WV,2486,153918,1826608,0.495520112,0.504479888,0.934210843,0.045612414,0.008286945,0.011020974,0.000868824,0.981906901,0.018093099,0.134454136,0.071369445,0.086783262,0.119191419,0.118502164,0.126629797,0.140606523,0.11984728,0.082615975,173,2686,1.355,1.25,1792147,38.336246,-81.612328,756.076371,697.4874271,0.032427507,0.045779361
47,28,Wyoming,WY,1262,58142,592490,0.509130956,0.490869044,0.924523621,0.01918851,0.037171935,0.01669564,0.002420294,0.896509646,0.103490354,0.15594356,0.080036794,0.0918429,0.132186197,0.127433374,0.109336866,0.134328006,0.103137606,0.065754696,33,707,1.068,1.25,578759,41.140259,-104.820236,1845.327675,2159.793627,0.025559098,0.045779361
48,,Arizona,AZ,17234,863927,7511073,0.496918483,0.503081517,0.826230819,0.061576156,0.061032824,0.046208178,0.004952022,0.683375598,0.316624402,0.152179189,0.079693807,0.096759012,0.138654491,0.122439098,0.115537687,0.118936136,0.101102599,0.074697983,335,17344,4.182,2.822,7278717,33.448143,-112.096962,574.5518063,387.7056904,0.100082535,0.103351486
49,,North Dakota,ND,2807,107708,780700,0.511844499,0.488155501,0.869798898,0.040480338,0.066176508,0.021721532,0.001822723,0.95707442,0.04292558,0.168528244,0.074071987,0.109672089,0.150409889,0.120480338,0.101352632,0.121219418,0.085842193,0.06842321,58,1525,1.007,1.25,762062,46.82085,-100.783318,1321.414793,1640.286486,0.024099262,0.045779361
50,,South Dakota,SD,2138,122660,907592,0.504955971,0.495044029,0.846556603,0.029969414,0.10212298,0.019582588,0.001768416,0.955969202,0.044030798,0.170717679,0.081591728,0.094200918,0.130079375,0.118628194,0.10585263,0.130586211,0.098886945,0.06945632,54,1967,0.974,1.25,884659,44.367031,-100.346405,1100.989195,1412.973813,0.023309514,0.045779361
