NAME,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75
Hawaii,1898150,0.501375023048758,0.49862497695124197,0.3245607565260912,0.026904617654031557,0.019888312304085557,0.42741564154571554,0.20123067197007613,0.8679682849089904,0.13203171509100967,0.17682006163896424,0.07957801016779496,0.09076311145062298,0.14197929562995548,0.12507336090403814,0.11139688644206201,0.11365065985301477,0.09241840739667571,0.06832020651687169
Idaho,1835705,0.5015135874228157,0.49848641257718423,0.9292882026251494,0.014275714235130372,0.02803663987405384,0.024081756055575377,0.004317687210090946,0.8699131941134333,0.13008680588656674,0.1668525171528105,0.08879095497370221,0.09307595719355778,0.1325763126428266,0.1263111447645455,0.11180881459711664,0.12055422848442424,0.09689955630125756,0.06313051388975897
Illinois,12951672,0.4914835706154387,0.5085164293845613,0.7693451470976103,0.1533503164687926,0.010923145675708897,0.06492875977711604,0.0014526309807722123,0.8243396682683132,0.17566033173168685,0.1483274128622158,0.07905573890382647,0.0923315537947533,0.13875691107680924,0.1284432619973699,0.12503459012859497,0.12918501950945022,0.0914832463329831,0.06738226539399701
Indiana,6887333,0.4932067318365469,0.5067932681634532,0.8488924522743418,0.10985703754994858,0.009672394234459114,0.030160586107859166,0.0014175298333912415,0.9262419865570606,0.07375801344293938,0.15695683655777934,0.08197323985931855,0.09911470811706069,0.1322150388256238,0.12213000300696947,0.12089120708988516,0.1280636496013769,0.09306766494374528,0.06558765199824083
Iowa,3221007,0.49806411473182144,0.5019358852681786,0.9058583231889903,0.05036716778324294,0.010479021001817133,0.03103563574993783,0.0022598522760118186,0.935964746428679,0.06403525357132102,0.15608069153528695,0.08029849050312526,0.10060580433386206,0.12614657465817367,0.1211257845760658,0.11355237663252517,0.1298038160115765,0.09713918659599312,0.07524727515339147
Kansas,3009064,0.49825194811409795,0.5017480518859021,0.8629417652798346,0.07393594818853969,0.023145071025408567,0.03768447596993617,0.0022927395362810493,0.8769072375994661,0.12309276240053385,0.1636698322136053,0.08432555771495721,0.10259369691040138,0.13147676486774626,0.12269297030571633,0.11078428375069457,0.12504852007135775,0.09132009156335658,0.06808828260216467
Kentucky,4563577,0.49273913861867563,0.5072608613813243,0.8754711490569788,0.09479800603780762,0.008451265312275875,0.019634598035707516,0.0016449815572302166,0.9599862125696575,0.04001378743034247,0.15237696219434888,0.07796340458372895,0.09366643753354002,0.1312884607841612,0.12228740744376615,0.1246421392692618,0.13214217706855827,0.09880560796936264,0.0668274031532721
Louisiana,4737288,0.48771301217067653,0.5122869878293235,0.6311341003544644,0.33170560877869365,0.013818243687105365,0.021961721558832817,0.0013803256209037745,0.9454645780454978,0.05453542195450224,0.15982308865325479,0.07885756576336503,0.0905868505355807,0.14117085556124095,0.1261048515521961,0.1169244935076778,0.12878444375769427,0.09420685421701193,0.06354099645197843
Maine,1370308,0.4897161805958952,0.5102838194041047,0.9437608187356419,0.022597109554932177,0.0152265038224983,0.017461037956430232,0.0009545299304973773,0.9812925269355502,0.018707473064449743,0.12176678527747047,0.06786430495917706,0.08046512170986377,0.12124938335031249,0.11420425189081579,0.12897465387343576,0.15581460518365214,0.12432095558078914,0.0853399381744834
Maryland,6242265,0.48438010882267896,0.5156198911773211,0.591310365708601,0.3181095323572453,0.013012584374421784,0.07524832732990348,0.002319190229828436,0.8915446556658521,0.10845534433414794,0.1514461497549367,0.07681282355042601,0.08827500915132568,0.13701068442304196,0.1284599420242492,0.12977436875877585,0.13294565354082213,0.09095560665880094,0.06431976213762151
