State,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
Massachusetts,5.286,2.673,6892503,42.358162,-71.063698,766.9202320260143,387.81267124584497,0.1265031755695104,0.0978945862334895
Michigan,6.54,3.873,9986857,42.733635,-84.555328,654.8606833961876,387.8096982864579,0.1565135770383273,0.1418427730947642
Minnesota,2.833,2.187,5639632,44.955097,-93.102211,502.3377411859497,387.7912601389594,0.0677986183103335,0.0800955705546732
Mississippi,1.806,1.25,2976149,32.303848,-90.182106,606.8244567056287,420.00585320157023,0.0432207217326023,0.0457793613138278
Missouri,2.685,2.38,6137428,38.579201,-92.172935,437.47967389597073,387.78458989661465,0.0642567208483041,0.0871639039415282
Montana,0.906,1.25,1068778,46.585709,-112.018417,847.6970895733258,1169.5600021707037,0.021682156085126,0.0457793613138278
Nebraska,1.04,1.25,1934408,40.808075,-96.699654,537.632185143982,646.1925302211323,0.0248890091926392,0.0457793613138278
Nevada,2.738,1.25,3080156,39.163914,-119.766121,888.9160159420497,405.8236011422798,0.0655251030475443,0.0457793613138278
New Hampshire,0.994,1.25,1359711,43.206898,-71.537994,731.0376984520975,919.3130010715512,0.023788149170657,0.0457793613138278
New Jersey,6.244,3.444,8882190,40.220596,-74.769913,702.9797831390682,387.7422122246878,0.1494297821142684,0.1261312962918585
New Mexico,1.751,1.25,2096829,35.68224,-105.939728,835.0704802346781,596.1382640167606,0.0419044760541454,0.0457793613138278
New York,12.744,7.543,19453561,42.652843,-73.757874,655.0985703851342,387.7439199949048,0.3049860895682634,0.2762509779121629
North Carolina,5.439,4.067,10488084,35.78043,-78.639099,518.588523890541,387.77340074698105,0.1301647317295813,0.1489477299706703
North Dakota,1.007,1.25,762062,46.82085,-100.783318,1321.41479302209,1640.2864858764772,0.024099261785565,0.0457793613138278
Ohio,5.368,4.533,11689100,39.961346,-82.999069,459.23124962571967,387.7971785680677,0.1284655782173915,0.1660142758684654
Oklahoma,1.87,1.534,3956971,35.492207,-97.503342,472.5837010177734,387.6702659685906,0.0447523530675339,0.0561804322043295
Oregon,2.648,1.635,4217737,44.938461,-123.030403,627.8248264412883,387.6486371720191,0.0633712464827967,0.0598794045984868
Pennsylvania,7.291,4.964,12801989,40.264378,-76.883598,569.5208767950043,387.7522469360035,0.1744863134841658,0.1817989996494732
Rhode Island,1.131,1.25,1059361,41.830914,-71.414963,1067.624728491987,1179.9565964765552,0.0270667974969951,0.0457793613138278
South Carolina,2.499,1.996,5148714,34.000343,-81.033211,485.36391805798496,387.6696200255054,0.059805417281159,0.0731004841459203
South Dakota,0.974,1.25,884659,44.367031,-100.346405,1100.989194706661,1412.9738125085485,0.0233095143784909,0.0457793613138278
Tennessee,3.725,2.648,6829174,36.16581,-86.784241,545.4539597321726,387.7482108377968,0.0891457300409433,0.0969789990072129
Texas,15.814,11.243,28995881,30.27467,-97.740349,545.3878087028982,387.7447282943394,0.3784565301657657,0.4117578874010933
Utah,1.377,1.25,3205958,40.777477,-111.888237,429.5128008539101,389.8990566938182,0.0329540054406386,0.0457793613138278
Vermont,1.049,1.25,623989,44.262436,-72.580536,1681.1193787069965,2003.240441738556,0.0251043948491139,0.0457793613138278
Virginia,4.293,3.31,8535519,37.538857,-77.43364,502.9571136799063,387.7912989239436,0.1027389581384616,0.1212237487590162
Washington,4.427,2.953,7614893,47.035805,-122.905014,581.3607623902267,387.792710941572,0.1059458112459747,0.1081491631677869
West Virginia,1.355,1.25,1792147,38.336246,-81.612328,756.076370967337,697.4874270916392,0.0324275071692558,0.0457793613138278
Wisconsin,2.533,2.258,5822434,43.074684,-89.384445,435.0414276915805,387.81032125052855,0.0606190964278414,0.0826958382772986
Wyoming,1.068,1.25,578759,41.140259,-104.820236,1845.3276752499744,2159.7936273993146,0.0255590979016718,0.0457793613138278
